1,5,4000,4000,20000,5,5,2
2,5,4500,3900,24000,5,-2,-3
3,5,5000,4100,28000,2,10,4
4,5,40000,30000,20000,-200,-300,15
5,5,42000,26000,20000,-200,-300,15
6,5,44000,22000,20000,-200,-300,15
7,5,40000,23000,20000,-200,-300,20
8,5,20000,30000,20000,-200,-300,15
9,5,22000,26000,20000,-200,-300,15
10,5,26000,22000,20000,-200,-300,15
11,5,27000,20000,20000,-200,300,20
12,5,25000,25000,20000,-200,-300,15
13,5,42000,16000,20000,-400,-200,15
14,5,44000,13000,20000,-200,-300,15
15,5,40000,19000,20000,-200,-300,20
16,5,20000,45000,20000,-200,-300,15
17,5,22000,26000,20000,-200,-300,15
18,5,26000,40000,20000,-200,-300,15
19,5,20000,27000,25000,-200,300,20
20,5,24000,24000,25000,5,5,2
21,5,45000,39000,25000,5,-2,-3
22,5,15000,24100,25000,2,10,4
23,5,40000,30000,25000,-200,-300,15
24,5,42000,26000,25000,-200,-300,15
25,5,44000,22000,25000,-200,-300,15
26,5,40000,23000,25000,-200,-300,20
27,5,20000,30000,25000,-200,-300,15
28,5,22000,26000,25000,-200,-300,15
29,5,26000,22000,25000,-200,-300,15
30,5,27000,20000,25000,-200,300,20
31,5,25000,25000,25000,-200,-300,15
32,5,42000,16000,25000,-400,-200,15
33,5,44000,13000,25000,-200,-300,15
34,5,40000,19000,25000,-200,-300,20
35,5,20000,45000,25000,-200,-300,15
36,5,22000,26000,25000,-200,-300,15
37,5,26000,40000,25000,-200,-300,15
38,5,20000,27000,25000,-200,300,20
39,5,4000,4000,30000,5,5,2
40,5,4500,3900,30000,5,-2,-3
41,5,5000,4100,30000,2,10,4
42,5,40000,30000,28000,-200,-300,-15
43,5,42000,26000,28000,-200,-300,-15
45,5,44000,22000,28000,-200,-300,-15
46,5,40000,23000,28000,-200,-300,-20
47,5,20000,30000,28000,-200,-300,-15
48,5,22000,26000,28000,-200,-300,-15
49,5,26000,22000,28000,-200,-300,-15
50,5,27000,20000,28000,-200,300,-20
